Person,Project,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_12,Project_018,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,
Person_09,Project_018,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,
Person_25,Project_019,s,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_019,s,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_019,s,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,,,,e,,,,,,,,
Person_05,Project_020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,,,,e,,,,,,,,
Person_09,Project_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,e,,,,,,,,,,,,,,
Person_13,Project_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,e,,,,,,,,,,,,,,
Person_18,Project_022,,,,,,,,,,,s,,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_022,,,,,,,,,,,s,,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_022,,,,,,,,,,,s,,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,,,e,,,,
Person_04,Project_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,,,e,,,,
Person_18,Project_024,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_025,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_025,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_026,,,,,,,,,,,,,,,,,,,s,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_026,,,,,,,,,,,,,,,,,,,s,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_027,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_11,Project_027,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_028,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,
Person_08,Project_029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,
Person_09,Project_029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,
Person_14,Project_030,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,
Person_24,Project_030,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,
Person_06,Project_031,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_031,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_031,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_032,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_032,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_032,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_032,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_033,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,
Person_13,Project_033,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,
Person_10,Project_033,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,
Person_08,Project_034,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_034,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_034,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_034,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_035,,,,,,,,,,s,,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_035,,,,,,,,,,s,,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_036,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_036,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,e,,,,,,,,
Person_21,Project_037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,e,,,,,,,,
Person_01,Project_037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,e,,,,,,,,
Person_12,Project_038,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_039,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,
Person_03,Project_039,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,
Person_17,Project_040,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_18,Project_040,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_040,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_041,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_041,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,
Person_25,Project_042,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,
Person_09,Project_042,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,
Person_07,Project_042,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,
Person_24,Project_043,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,
Person_16,Project_043,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,
Person_01,Project_043,,,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,
Person_16,Project_044,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_13,Project_044,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_044,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_17,Project_044,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_045,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_045,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_12,Project_045,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_10,Project_045,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_046,,,,,,s,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_02,Project_046,,,,,,s,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_046,,,,,,s,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_046,,,,,,s,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_047,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,
Person_03,Project_047,,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,
Person_03,Project_048,,,,,,,,,,,,,,,s,,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_06,Project_048,,,,,,,,,,,,,,,s,,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_049,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_049,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,,,,
Person_04,Project_050,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,
Person_13,Project_050,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,
Person_02,Project_050,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,
Person_23,Project_050,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,
Person_01,Project_051,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,
Person_21,Project_051,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,
Person_11,Project_052,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_053,,,,s,,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_16,Project_053,,,,s,,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_09,Project_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,,
Person_13,Project_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,,
Person_06,Project_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,,
Person_03,Project_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,e,,,,,,
Person_25,Project_055,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,
Person_16,Project_055,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,
Person_02,Project_056,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,
Person_20,Project_056,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,
Person_13,Project_056,,,,,,,,,,,,,,,,,,,,s,,X,X,X,X,X,X,X,X,X,X,,,,e,,,,,,,,,,,,,,,,,
Person_06,Project_057,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_057,s,X,X,X,X,X,X,X,X,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_22,Project_058,,,,s,,,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_058,,,,s,,,X,X,X,,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_03,Project_059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,,
Person_18,Project_059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,,,,e,,,,,,,
Person_20,Project_060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,X,X,X,X,X,,,e,,,,,,,,,
Person_18,Project_061,,,,,,,,,s,,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_25,Project_061,,,,,,,,,s,,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_061,,,,,,,,,s,,,X,X,X,X,X,X,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_062,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,
Person_14,Project_062,,,,,,,,,,,,,,,,,,,,,,s,X,X,X,X,X,X,X,X,X,,,e,,,,,,,,,,,,,,,,,,
