Person,Project,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_11,Project_053,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_01,Project_054,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_03,Project_054,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_13,Project_054,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_17,Project_055,,,,,s,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,e,,,,,,,,,,,,,,
Person_15,Project_055,,,,,s,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,e,,,,,,,,,,,,,,
Person_08,Project_055,,,,,s,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,e,,,,,,,,,,,,,,
Person_05,Project_056,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_01,Project_056,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_18,Project_057,s,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_07,Project_057,s,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_18,Project_058,s,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Project_058,s,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_13,Project_059,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,e
Person_10,Project_060,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,e
Person_06,Project_061,s,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_03,Project_061,s,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_11,Project_061,s,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_20,Project_062,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,e,,,,,,,
Person_10,Project_062,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,e,,,,,,,
Person_07,Project_063,s,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,e
Person_06,Project_064,,,s,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,e,,,,,,,,
Person_04,Project_065,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,e
Person_23,Project_066,s,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_09,Project_066,s,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_08,Project_067,s,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_19,Project_067,s,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_09,Project_067,s,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_13,Project_068,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,e
Person_06,Project_068,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,e
Person_10,Project_069,s,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_15,Project_069,s,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_10,Project_070,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,e
Person_15,Project_070,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,e
Person_16,Project_070,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,e
Person_04,Project_071,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_09,Project_071,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_07,Project_071,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_16,Project_072,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,e
Person_21,Project_072,s,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,e
Person_12,Project_073,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_08,Project_073,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Project_074,,,,,,,,,,,,s,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_09,Project_074,,,,,,,,,,,,s,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_14,Project_074,,,,,,,,,,,,s,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
Person_18,Project_075,,,,,,,,,,,,s,,,,,,,,,,X,X,X,X,,,,,,,,,,,,e,,,,,,,,,,,,,,,
Person_07,Project_076,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,e
Person_11,Project_076,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,e
Person_01,Project_077,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,e,,,,
Person_02,Project_077,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,e,,,,
Person_08,Project_078,,,,s,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,e,,,,,,,,,,,,,,
Person_11,Project_078,,,,s,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,e,,,,,,,,,,,,,,
Person_06,Project_079,s,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_16,Project_080,s,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,e
Person_03,Project_081,s,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,e
Person_06,Project_082,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,e
Person_15,Project_082,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,e
Person_08,Project_083,s,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_17,Project_083,s,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_02,Project_084,s,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,e
Person_18,Project_085,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,e
Person_16,Project_086,,,,,,,,,,,,,,s,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,e,,,,,,,
Person_04,Project_086,,,,,,,,,,,,,,s,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,e,,,,,,,
Person_18,Project_087,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,e
Person_16,Project_087,s,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,e
Person_13,Project_088,,,,,,,,,,,,,s,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,e,,,
Person_18,Project_089,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,e
Person_08,Project_090,s,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,e
